TM,Location,HITTERS,AB,SO vlhp,BB v lhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,CL v lhp,DP v lhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,CL v rhp,DP v rhp,STEALING,STL,SPD,B,H,INJ,CA,1B,2B,3B,SS,LF,CF,RF,FIELDING
CLA,,"Freeman,M*",38,51,0,16.9,22.9,16.9,0,w,-2,0,30,4,21.1,31.1,32.4,0,w,-2,0,-/- (---),E,13,C,D,1,,525,312,356,322,425,,,3b-3e56 lf-4(+2)e25 ss-3e22 2b-3e12 1b-5e25
CLA,,"Hedges,A",69,45,15,2.4,23.4,9.6,2.4,4*,0,23,37,4,3,13,12,3,4*,0,28,"*3-8/9,10 (15-8)",D,9,A,C,2,201,,,,,,,,"c-2(-2)e1,T-8(pb-8)"
CLA,,"Hernandez,C+",233,20,0,20.3,22.3,41.5,3.4,w,+9,9,24,11,30.4,43.4,49,2.3,w,+8,8,-/- (---),E,14,C,B,1,,,111,,,,,,2b-1e11
CLA,,"Leon,S+",66,0,37,0,40,0,0,w*,0,12,40,22,2.4,27.4,9,2.2,2*,0,15,-/- (---),E,8,C,C,2,216,,,,,,,,"c-2(+1)e16,T-20(pb-0)"
CLA,,"Lindor,F+",236,0,4,31.3,38.3,42.7,0,w,-16,24,16,8,21.3,32.3,34.3,3,4,-12,23,"*4,6/- (17-11)",B,15,D,C,0,,,,,103,,,,ss-1e3
CLA,,"Luplow,J",78,13,11,22.3,36.3,49.4,1,0*,0,24,24,27,0.1,30.1,0.4,0.1,0*,0,20,2-9/- (3-1),E,14,D,C,1,,,,,,301,,301,lf-3(-1)e1 rf-3e1
CLA,,"Mercado,O",86,35,0,4.3,4.3,11.4,1.8,3*,0,0,37,9,0,9,0,0,w*,0,0,*5/- (20-13),B,15,C,D,1,,,,,,308,208,,cf-2(-2)e8 lf-3e8
CLA,,"Naquin,T*",133,53,0,0,2,0,0,w*,0,18,32,0,23.8,25.8,42.2,2,3,+8,18,3-8/- (3-1),E,14,D,D,2,,,,,,,,300,rf-3(-2)e0
CLA,,"Naylor,J*",97,0,0,18.3,20.3,18.3,0,w,-8,17,1,0,26.1,28.1,38.4,2.3,w,-8,17,3/- (20-6),C,13,D,B,1,,521,,,,516,,516,lf-5(0)e16 rf-5e16 1b-5e21
CLA,,"Perez,R",97,51,5,10,19,19.5,0,w*,0,16,45,16,5,25,12.2,2.4,w*,0,13,-/- (---),E,8,D,D,3,101,,,,,,,,"c-1(-4)e1,T-5(pb-0)"
CLA,,"Ramirez,J+",219,5,19,38.6,60.6,107.8,17.4,8,-3,4,13,14,20.6,37.6,38.7,3.6,6,-8,3,"*2-5,12/- (18-13)",A,16,D,B,1,,,,217,,,,,3b-2e17
CLA,,"Reyes,F",211,33,18,21,40,23.5,0,w,-8,20,35,12,25.4,38.4,40.8,3.6,6,-9,15,-/- (---),E,10,D,C,1,,,,,,509,,,lf-5(+1)e9
CLA,,"Santana,C+",206,12,6,18.2,25.2,35.4,3.3,5,-3,18,12,35,3.9,39.9,7.7,1.3,2,-1,11,-/- (---),E,12,D,C,0,,311,,,,,,,1b-3e11
CLA,,"Santana,D",70,46,21,0,24,0,0,w*,0,17,33,26,8.5,37.5,19.1,1.6,2*,0,15,-/- (---),E,11,D,D,1,,,,,,517,,517,rf-5(+1)e17 lf-5e17
CLA,,"Taylor,B*",21,53,1,0,1,0,0,w*,0,0,60,9,0,9,0,0,w*,0,0,-/- (---),E,9,C,D,2,416,,,,,,,,"c-4(-1)e16,T-11(pb-0)"
CLA,,"Zimmer,B*",37,30,0,8.8,34.8,8.8,0,w,-7,19,31,23,3.6,52.5,7,1.1,1*,0,19,"*2-9,11/- (15-13)",B,17,D,C,1,,,,,,222,222,222,cf-2(-3)e22 lf-2e22 rf-2e22
CON,,"Arenado,N",182,0,0,27.4,27.4,49.4,4,w,-12,29,0,6,19.3,25.3,34.6,4.3,5,-11,27,-/- (---),E,11,D,B,2,,,,110,,,,,3b-1e10
CON,,"Blackmon,C*",221,1,6,43.8,51.8,55.9,1.3,1,-3,14,22,3,28.5,33.5,39.7,1.5,1,-3,15,7/- (13-6),D,13,D,B,1,,,,,,,,404,rf-4(0)e4
CON,,"Butera,D",39,33,0,5.4,5.4,9.8,0,w*,0,34,31,2,7.2,9.2,13.4,0,w*,0,33,-/- (---),E,8,C,D,2,302,425,,,,,,,"c-3(-1)e2,T-3(pb-2) 1b-4e25"
CON,,"Dahl,D*",93,37,0,6.2,8.2,6.2,0,w,+4,0,35,0,12.6,14.6,26.4,0,w,+4,0,3/- (20-6),C,14,D,D,3,,,,,,307,307,307,cf-3(+1)e7 lf-3e7 rf-3e7
CON,,"Diaz,E",68,5,6,17.9,23.9,27.4,2.5,2,-8,32,27,5,20,25,23,1,0,-8,32,-/- (---),E,10,D,C,2,312,,,,,,,,"c-3(0)e12,T-10(pb-0)"
CON,,"Fuentes,J",98,56,0,24,26,34,0.8,0,+4,3,25,0,37.5,39.5,48,0.2,0,+4,6,2/- (20-6),D,12,D,B,1,,207,,405,,425,,,1b-2e7 3b-4e5 lf-4(+2)e25
CON,,"Hampson,G",167,42,3,15.8,18.8,30.6,3.2,w,-8,1,48,9,19.5,28.5,36.1,2.4,3,-9,1,"*4,6/- (19-12)",A,17,A,D,1,,,315,,414,404,304,,2b-3e15 cf-3(+1)e4 lf-4e4 ss-4e14
CON,,"Hilliard,S*",105,56,0,14.3,14.3,19.3,1.6,3,-10,0,52,13,13.5,26.5,37.6,4.8,8*,0,0,*5/- (20-12),B,16,D,D,1,,,,,,303,403,303,lf-3(-2)e3 cf-4e3 rf-3e3
CON,,"Kemp,M",117,37,10,23.8,33.8,36.1,2,3,+8,23,45,16,7.1,23.1,19.8,4.3,6,+7,21,2/- (20-6),E,10,D,D,1,,,,,,501,,,lf-5(+3)e1
CON,,"McMahon,R*",172,41,7,8.1,17.1,29.8,7.2,8,0,17,51,12,15.4,29.5,27.9,2.6,3,-7,14,2-6/- (3-1),E,13,D,D,1,,316,341,334,488,,,,2b-3e41 1b-3e16 3b-3e34 ss-4e88
CON,,"Murphy,D*",123,21,0,15,15,17,0,w,+9,20,5,0,22.2,22.2,28.2,2,2,+9,20,-/- (---),E,10,D,C,1,,524,,,,,,,1b-5e24
CON,,"Owings,C",41,36,1,19.5,20.5,29.7,3.4,5,+4,0,21,10,24.6,34.6,39,3.4,4,+4,0,*3/- (20-6),C,13,D,D,3,,,304,465,425,407,407,,2b-3e4 lf-4(+1)e7 3b-4e65 ss-4e25 cf-4e7
CON,,"Pillar,K",208,13,2,33.4,37.4,54,3.4,6,-10,16,13,3,27,32,48.8,3.2,w,-9,15,*2-5/- (16-11),B,14,D,D,1,,,,,,203,103,203,cf-1(-2)e3 rf-2e3 lf-2e3
CON,,"Rodgers,B",21,59,0,18.9,18.9,36.1,0,w*,0,0,13,0,0,0,0,0,w*,0,0,-/- (---),E,12,D,D,3,,,430,,452,,,,2b-4e30 ss-4e52
CON,,"Story,T",235,12,22,28,50,50.4,5.8,8,-14,13,33,5,27.5,32.5,49.4,2.3,2,-12,15,"*2-5,12/- (19-13)",AA,17,D,D,1,,,,,129,,,,ss-1e29
CON,,"Tapia,R*",184,14,0,41.8,43.8,53.2,0,w,+8,12,16,8,33.8,43.8,43.4,1.5,w,+8,11,"*5,6/- (18-12)",A,15,D,C,1,,,,,,309,,309,lf-3(-1)e9 rf-3e9
CON,,"Wolters,T*",100,49,12,4.6,18.5,4.6,0,w,+8,4,32,0,22.4,24.4,27.4,0,w,+8,6,-/- (---),E,11,C,B,2,201,,441,,,,,,"c-2(0)e1,T-6(pb-5) 2b-4e41"
DEA,,"Alcantara,S+",21,45,0,0,0,0,0,w*,0,0,5,10,6.6,16.6,23.8,4.4,8*,0,0,-/- (---),E,12,D,C,1,,,312,365,,,,,3b-3e65 2b-3e12
DEA,,"Bonifacio,J",86,28,1,33.2,39.2,38.2,0,w,+4,8,32,4,10.9,19.9,17,1.5,1,+4,8,-/- (---),E,13,D,D,1,,,,,,407,,407,lf-4(+1)e7 rf-4e7
DEA,,"Cabrera,M",204,7,22,27.8,50.8,43.8,3.8,7,+10,8,21,12,14.8,27.9,23.1,2.8,5,+11,9,2/- (20-6),E,8,D,B,1,,,,,,,,,
DEA,,"Cameron,D",57,58,0,0.2,0.2,0.2,0,w,0,15,37,0,13.9,13.9,25.3,0,w,+4,16,*3/- (20-6),C,14,D,D,1,,,,,,,,310,rf-3(0)e10
DEA,,"Candelario,J+",185,15,10,41.5,52.5,65.2,3.6,6,+2,11,26,10,27.8,38.8,46.3,2.1,3,+2,11,6/11 (13-5),D,13,D,D,1,,316,,212,,,,,1b-3e16 3b-2e12
DEA,,"Castro,H*",49,42,0,18.9,18.9,18.9,0,w,-9,17,15,10,46.6,56.6,59.2,0,w,-8,15,-/- (---),E,13,D,C,3,,424,424,414,452,403,403,403,3b-4e14 lf-4(+1)e3 rf-4e3 ss-4e52 cf-4e3 1b-4e24 2b-4e24
DEA,,"Castro,W+",129,19,7,39,47.9,50.3,2.8,5,-1,0,34,0,43.7,45.7,63.2,3.8,6,-1,0,"2-6,12/- (3-1)",E,14,C,D,1,,,420,421,432,,,,ss-4e32 3b-4e21 2b-4e20
DEA,,"Cron,C",42,50,18,6.9,29.9,27.3,6.8,8*,0,16,32,33,9.5,47.5,38,9.5,8*,0,12,-/- (---),E,11,D,D,4,,325,,,,,,,1b-3e25
DEA,,"Demeritte,T",29,79,0,10.4,17.5,11,0,w,+4,0,45,25,3.1,35.1,5.6,0,w*,0,0,-/- (---),E,14,D,D,1,,,,,,419,,419,rf-4(0)e19 lf-4e19
DEA,,"Goodrum,N+",158,55,8,23.8,31.8,59.9,5,8,+8,5,58,12,4.6,16.6,10,1,1,+7,15,"*4,6/- (19-13)",A,15,D,D,2,,,216,,205,,,,ss-2e5 2b-2e16
DEA,,"Greiner,G",51,45,26,6.9,36.8,27.3,6.8,8*,0,15,49,0,3.7,7.7,14.8,3.7,7*,0,28,-/- (---),E,10,D,D,2,402,,,,,,,,"c-4(0)e2,T-9(pb-4)"
DEA,,"Haase,E",17,0,0,0,0,0,0,w*,0,0,41,4,8.3,12.3,8.3,0,w,+4,0,-/- (---),E,10,D,D,2,416,,,,,,,,"c-4(+1)e16,T-6(pb-0)"
DEA,,"Jones,J",97,39,8,25,39,69.8,10.8,8*,0,4,39,5,24,35,44.3,2.3,3,-6,6,*3-6/9 (15-7),C,15,D,D,2,,,,,,,206,,cf-2(0)e6
DEA,,"Paredes,I",100,27,3,35.9,38.9,35.9,0,w,-13,6,17,9,13.6,22.6,26.1,2.4,w,-4,5,-/- (---),E,10,D,D,1,,,,411,,,,,3b-4e11
DEA,,"Reyes,V+",202,8,0,36.3,38.3,36.3,0,w,-16,16,21,0,32,34,42.6,1.3,1,-16,16,"*5,6/- (19-13)",A,14,C,C,1,,,,,,203,303,203,cf-3(-1)e3 lf-2e3 rf-2e3
DEA,,"Romine,A",130,12,0,26.4,26.4,36.8,3.5,5,+9,19,52,0,19.4,19.4,30.6,2,w,+9,20,-/- (---),E,10,D,C,2,202,424,,,,,,,"c-2(+1)e2,T-2(pb-2) 1b-4e24"
DEA,,"Schoop,J",162,32,0,27.9,32.8,45,1.8,2,-12,27,15,5,26.3,36.3,40.2,3.8,6,-12,30,-/- (---),E,13,D,D,2,,,204,,,,,,2b-2e4
DEA,,"Stewart,C*",90,52,0,8.6,13.6,13.9,0,w,-1,17,37,1,8.1,14.1,17.5,2.5,4,-1,18,-/- (---),E,11,D,D,1,,,,,,509,,,lf-5(+3)e9
HOA,,"Altuve,J",192,27,15,7.3,23.3,7.3,0,0,-5,17,11,6,20.2,27.2,30.9,1.5,1,-9,19,"*2-5,11,12/8,10 (15-5)",D,14,D,C,2,,,314,,,,,,2b-3e14
HOA,,"Brantley,M*",170,14,2,21.9,23.9,33.1,0,0,-2,13,6,12,37.1,49.1,54.2,1.5,2,-2,12,2/- (20-6),C,11,D,C,2,,,,,,404,,,lf-4(-1)e4
HOA,,"Bregman,A",153,0,18,26.8,47.8,51.5,2.3,3,-2,6,13,19,12.1,34,24.8,1.8,3,-2,6,-/- (---),E,13,D,C,2,,,,108,,,,,3b-1e8
HOA,,"Correa,C",201,33,7,26.9,36.9,32.2,1.5,2,-2,15,19,4,24.5,31.5,31.9,0.8,0,-2,15,-/- (---),E,13,D,B,1,,,,,103,,,,ss-1e3
HOA,,"Diaz,A",58,17,0,16.4,16.4,29.1,1,0,-3,14,19,0,22.1,22.1,53.7,5.9,8,0,14,-/- (---),E,13,D,C,3,,410,406,410,,416,,,2b-4e6 1b-4e10 3b-4e10 lf-4(+1)e16
HOA,,"Garneau,D",38,42,30,0,30,0,0,w*,0,14,51,17,6.3,23.4,20.6,1.9,2*,0,14,-/- (---),E,10,C,D,2,416,,,,,,,,"c-4(+2)e16,T-20(pb-1)"
HOA,,"Gurriel,Y",211,0,0,27,29,53.1,5.1,8,-8,19,5,4,16.1,22.1,30.3,2.8,w,-6,21,"2-5,11,12/- (3-1)",E,12,D,B,1,,103,,,,,,,1b-1e3
HOA,,"Jones,T",21,58,0,0,0,0,0,w*,0,33,41,0,18.3,18.3,40.5,5,7,-4,30,-/- (---),E,9,D,D,1,,406,,,,,,,1b-4e6
HOA,,"Maldonado,M",135,36,25,15.4,42.3,25,2.2,4,+6,4,45,27,6.2,35.3,14.1,2.6,3,+6,6,2/- (20-6),E,8,C,B,2,201,,,,,,,,"c-2(-3)e1,T-13(pb-2)"
HOA,,"Mayfield,J",42,0,0,6.4,11.4,6.4,0,w,-4,19,54,0,14,19,15,0,w,-8,16,-/- (---),E,12,C,D,1,,,306,306,412,,,,3b-3e6 ss-4e12 2b-3e6
HOA,,"Reddick,J*",188,22,12,25,37,50.6,3,w,+3,17,18,10,19.8,29.8,23.9,0.5,0,+3,19,2/- (20-6),D,12,D,C,1,,,,,,,,307,rf-3(0)e7
HOA,,"Springer,G",189,18,14,13.9,33,35.4,7.2,8,-4,10,11,14,20.9,39.8,42.4,5.4,8,-6,10,2-5/9-12 (13-4),D,14,D,C,1,,,,,,,202,202,cf-2(-2)e2 rf-2e2
HOA,,"Straw,M",82,30,0,1.6,1.6,1.6,0,w*,0,0,29,6,22.7,28.7,33.1,0,w,+4,0,"*2-6,11,12/- (18-15)",A,17,D,D,1,,,,,424,,205,,cf-2(-1)e5 ss-4e24
HOA,,"Toro,A+",87,40,0,6.9,23,17.1,2.5,3*,0,5,21,0,3.1,19,7.4,1.5,1*,0,5,"*3-8/9,10 (15-8)",D,12,D,C,1,,421,415,410,,,,,3b-4e10 1b-4e21 2b-4e15
HOA,,"Tucker,K*",209,13,2,13.4,15.4,31.6,4.4,7,+13,6,23,6,30,36,59.4,2,2,+12,5,"*4,6/- (19-12)",A,15,D,C,1,,,,,,304,,404,lf-3(+1)e4 rf-4e4
KCA,,"Cordero,F*",38,0,6,0,6,0,0,w*,0,20,0,10,22.9,32.9,55.1,6.2,8*,0,19,*3/- (20-11),C,16,D,C,4,,,,,,325,325,325,cf-3(-1)e25 rf-3e25 lf-3e25
KCA,,"Dozier,H",158,37,27,18.6,46.6,35.2,0,w*,0,13,25,23,13,37,25.3,2.5,4,-6,12,*4/- (20-6),B,14,D,D,2,,209,,415,,403,,303,1b-2e9 rf-3(+1)e3 lf-4e3 3b-4e15
KCA,,"Franco,M",223,12,8,31.1,39.2,41.3,0.8,0,+2,13,5,5,25.6,30.6,41.9,2,4,+2,14,2/- (20-6),E,9,D,C,0,,425,,319,,,,,3b-3e19 1b-4e25
KCA,,"Gallagher,C",53,12,26,17.2,43.2,33.4,0,w*,0,0,11,13,29.4,42.3,54.7,4,w,-8,0,-/- (---),E,9,C,C,3,303,,,,,,,,"c-3(0)e3,T-20(pb-1)"
KCA,,"Gordon,A*",163,8,0,21.1,25.1,21.1,0,w,-12,0,18,13,13.4,30.4,19.8,1.8,2,-8,0,-/- (---),E,11,C,C,1,,,,,,201,,,lf-2(-4)e1
KCA,,"Heath,N*",13,64,0,0,15,0,0,w*,0,0,50,17,7.2,39.2,14.4,0,w*,0,0,"*2-8,11/9,10,12 (15-8)",C,17,B,C,1,,,,,,,213,,cf-2(+1)e13
KCA,,"Lopez,N*",169,20,12,5.2,19.2,10,1.6,3*,0,1,20,9,17.9,28.9,25.4,0,w,-2,1,2-12/- (3-1),E,14,C,B,1,,,106,465,305,,,,2b-1e6 ss-3e5 3b-4e65
KCA,,"McBroom,R",81,56,4,25,29,66.2,13.4,8,-8,7,44,1,17.6,18.6,36.2,5,8,-8,17,-/- (---),E,11,D,D,1,,419,,,,404,,,1b-4e19 lf-4(+1)e4
KCA,,"Merrifield,W",248,0,5,30.5,38.5,39.5,0,0,-9,7,1,1,28.1,32.1,38.3,2.1,5,-10,8,"*2-5,12/- (19-13)",A,15,D,C,0,,430,230,,,303,303,203,rf-2(-2)e3 cf-3e3 2b-2e30 lf-3e3 1b-4e30
KCA,,"Mondesi,A+",219,19,0,31.4,32.3,61.6,4.5,8,-11,14,46,0,24.3,25.3,34.3,0.8,0,-11,13,*4-8/- (18-16),AA,17,A,C,1,,,,,112,,,,ss-1e12
KCA,,"O'Hearn,R*",113,40,0,0,0,0,0,w*,0,33,35,18,14.1,32.1,22.3,0.6,0,+7,26,-/- (---),E,10,D,D,2,,414,,,,,,,1b-4e14
KCA,,"Olivares,E",96,30,0,17.3,17.3,29.3,3.2,5,-9,6,26,0,24.5,24.5,31.9,0.6,1,-9,6,2-12/- (3-1),E,14,D,C,1,,,,,,312,312,312,cf-3(-1)e12 rf-3e12 lf-3e12
KCA,,"Perez,S",150,22,0,28.8,31.8,72.7,10.8,8,-4,0,20,0,40.9,43.9,73.2,7,8,-11,0,2/- (20-6),E,8,D,B,3,101,425,,,,,,,"c-1(-3)e1,T-1(pb-0) 1b-4e25"
KCA,,"Soler,J",149,56,1,24.1,29.1,39.3,0,w,-3,16,45,18,11.2,33.2,28,4.3,8,-1,8,-/- (---),E,12,D,C,2,,,,,,,,408,rf-4(0)e8
KCA,,"Starling,B",59,56,14,1.3,15.3,1.3,0,w,+1,0,72,0,7.8,7.8,11.9,0.9,2,+4,0,-/- (---),E,14,D,D,2,,,,,,,202,302,cf-2(-1)e2 rf-3e2
KCA,,"Viloria,M*",21,50,13,18.7,41.7,18.7,0,w,-7,0,53,6,8.9,24.9,15.1,0,w,0,0,-/- (---),E,9,D,C,2,405,,,,,,,,"c-4(-1)e5,T-20(pb-3)"
LAA,,"Adell,J",124,78,1,5.3,8.4,16.1,3.6,6,0,8,58,2,6.3,10.4,16.5,2.6,w*,0,19,"2-8,11/- (3-1)",E,15,D,D,1,,,,,,,414,414,rf-4(0)e14 cf-4e14
LAA,,"Barreto,F",27,89,0,0,8,0,0,w*,0,0,79,0,0,8,0,0,w*,0,0,*3/- (20-11),B,15,D,D,2,,,441,430,488,413,,,2b-4e41 ss-4e88 3b-4e30 lf-4(+2)e13
LAA,,"Bemboom,A*",48,45,12,6.4,26.4,18.4,4,5*,0,0,12,19,12.7,39.7,27,4.5,5,-5,0,2-12/- (3-1),E,10,C,D,2,402,,,,,,,,"c-4(-1)e2,T-3(pb-0)"
LAA,,"Fletcher,D",207,0,14,39.8,53.8,62.3,2.7,w,+5,13,0,7,33.1,40.1,45.2,2.8,w,+5,14,6/- (13-6),D,13,D,B,2,,,211,224,318,,,425,ss-3e18 2b-2e11 3b-2e24 rf-4(+2)e25
LAA,,"Ohtani,S*",153,33,31,8.2,39.2,15.6,1.2,0,-1,11,38,11,9.1,20.1,23.7,4.2,4,-1,14,"*4,6/- (19-13)",A,16,D,C,1,,,,,,,,,
LAA,,"Pujols,A",152,10,0,20.1,21.1,33.1,1.8,2,-1,21,8,6,14.1,21.1,26.7,2.8,5,-1,19,-/- (---),E,8,D,B,1,,413,,,,,,,1b-4e13
LAA,,"Rendon,A",189,0,29,19.8,53.8,42,4.3,8,-4,19,8,22,23.9,50.9,35,2,2,-7,25,-/- (---),E,13,D,D,1,,,,110,,,,,3b-1e10
LAA,,"Rengifo,L+",90,26,3,2.2,5.2,5.6,1.1,2*,0,17,31,29,4.3,33.3,4.3,0,w,-2,11,*2-5/- (17-12),B,14,C,C,2,,,312,416,388,,,,2b-3e12 ss-3e88 3b-4e16
LAA,,"Simmons,A",118,19,2,28.5,32.5,34.3,0,w,-4,28,0,5,34.8,41.8,42,0,w,-4,29,3/- (20-6),C,12,D,B,2,,,,,121,,,,ss-1e21
LAA,,"Stassi,M",90,5,17,25.9,44.9,57,10.4,8,-7,28,34,11,21,34,34.5,4.5,7,-8,18,-/- (---),E,10,D,C,3,201,,,,,,,,"c-2(+2)e1,T-3(pb-0)"
LAA,,"Thaiss,M*",21,45,27,0,27,0,0,w*,0,24,44,24,6.7,30.7,19.3,4.2,5*,0,25,-/- (---),E,10,D,D,1,,410,565,537,,525,,,1b-4e10 2b-5e65 lf-5(+1)e25 3b-5e37
LAA,,"Trout,M",199,35,16,18.1,37.2,29.4,3.8,7,-7,0,24,20,23.3,46.3,61.2,9.6,8,-4,0,6/11 (13-5),D,16,D,D,1,,,,,,,204,,cf-2(0)e4
LAA,,"Upton,J",147,41,3,13.6,26.6,45.9,10.4,8*,0,29,24,6,9,25,17,2,2,+4,25,2-12/- (3-1),E,12,D,D,1,,,,,,409,,,lf-4(+1)e9
LAA,,"Walsh,J*",99,10,0,40.2,42.2,53,1.6,2,+2,0,3,5,23.4,30.4,79.2,14.7,8,+2,0,-/- (---),E,12,D,C,1,,307,,,,,,415,1b-3e7 rf-4(0)e15
LAA,,"Ward,T",94,44,0,26.1,26.1,41.5,0,w,0,7,28,14,29,43,44.3,0,w,0,5,4/- (20-6),C,13,D,D,1,,430,,,,308,,308,rf-3(+1)e8 lf-3e8 1b-4e30
LAN,,"Barnes,A",86,24,19,30.3,54.3,30.3,0,w,-7,0,27,18,14.1,37,24.2,2.5,w,-6,0,*5/- (20-6),B,13,C,D,2,201,,,,,,,,"c-2(0)e1,T-14(pb-0)"
LAN,,"Beaty,M*",50,7,0,16.6,24.6,33.2,0,w*,0,31,34,0,15.2,23.1,25.8,3.1,4,+4,35,-/- (---),E,13,D,C,1,,414,,,,404,,,1b-4e14 lf-4(+1)e4
LAN,,"Bellinger,C*",213,23,14,15.8,29.8,23.3,2,4,-9,14,8,16,18.1,34.1,38,4.8,8,-5,12,*7/- (19-11),A,15,D,C,1,,204,,,,,104,,cf-1(-1)e4 1b-2e4
LAN,,"Betts,M",219,28,17,7.4,26.4,11.9,1.5,2,+11,3,2,9,29,40,59.1,8.5,8,+12,4,"*4,6/- (19-13)",A,17,D,C,1,,,441,,,,,113,rf-1(-4)e13 2b-4e41
LAN,,"Hernandez,E",139,21,0,13.3,16.3,27.3,2.4,4,+6,27,21,0,18.4,21.4,32,1.8,2,+6,27,4-8/- (3-1),E,14,D,D,1,,420,234,,407,201,301,201,2b-2e34 rf-2(-1)e1 lf-2e1 cf-3e1 ss-4e7 1b-4e20
LAN,,"Lux,G*",63,52,10,0,10,0,0,w*,0,0,32,8,8.9,16.9,23.5,4.2,7*,0,0,3/- (20-6),C,14,D,D,1,,,330,,,,,,2b-3e30
LAN,,"Muncy,M*",203,19,23,11.9,38.9,22.1,3.4,7,-6,6,32,23,4.8,31.8,16.2,3.8,6*,0,6,2/- (20-6),D,13,D,D,1,,316,417,411,,,,,1b-3e16 3b-4e11 2b-4e17
LAN,,"Pederson,J*",121,15,11,0,19,0,0,w*,0,24,31,7,7.5,22.5,21.6,4.2,8,0,25,2/- (20-6),E,11,D,C,1,,,,,,303,,303,lf-3(-1)e3 rf-3e3
LAN,,"Pollock,A",196,11,0,37.8,37.8,103.2,17.6,8,-5,24,26,4,19.5,23.5,33.8,4.8,8,-12,24,*3-6/9 (15-7),C,13,D,D,1,,,,,,304,304,,lf-3(+1)e4 cf-3e4
LAN,,"Rios,E*",76,20,14,15.3,34.3,60.8,15.2,8*,0,15,23,0,22.8,27.8,69.9,12.2,8*,0,20,-/- (---),E,12,D,C,1,,406,,421,,,,,3b-4e21 1b-4e6
LAN,,"Seager,C*",212,11,5,27.9,33.9,47.2,4.2,7,-11,27,10,6,34.8,41.8,66.6,7.8,8,-11,25,2/- (20-6),E,12,D,C,1,,,,,331,,,,ss-3e31
LAN,,"Smith,W",114,9,22,24.6,49.6,48.5,1.3,0,+7,10,12,20,19.6,42.6,46.7,7.8,8,+7,10,-/- (---),E,11,D,B,3,401,,,,,,,,"c-4(-1)e1,T-2(pb-0)"
LAN,,"Taylor,C",185,34,25,12.7,39.6,19.9,2,2,+5,8,30,13,23.5,38.5,40.7,2.5,4,+5,10,"*5,6/12 (15-9)",C,15,B,D,1,,,317,,240,208,308,,ss-2e40 lf-2(0)e8 2b-3e17 cf-3e8
LAN,,"Turner,J",150,15,20,13.9,41.8,19.3,1.8,3,+3,5,5,9,34.8,51.8,45.8,0,0,+3,7,2/- (20-6),D,11,D,C,2,,,,422,,,,,3b-4e22
MLN,,"Arcia,O",173,16,18,18.9,37.8,40.5,3.8,w,-2,26,6,2,29.1,32.1,41.6,1.6,2,-12,33,3/- (20-6),C,14,D,C,1,,,,,210,,416,,ss-2e10 cf-4(+1)e16
MLN,,"Braun,R",129,17,8,15.6,26.6,26.7,2.5,5,+5,29,13,0,17,20,46.9,6.2,8,+6,30,3/- (20-6),D,12,D,D,2,,,,,,,,411,rf-4(0)e11
MLN,,"Cain,L",18,0,18,43.3,61.3,43.3,0,w,+4,21,0,11,36.9,47.9,46.2,0,w,+4,29,-/- (---),E,16,D,C,1,,,,,,,102,,cf-1(-2)e2
MLN,,"Gamel,B*",114,47,5,27.1,32.1,32.3,0,w,-4,16,38,12,21.1,33.1,38.7,1.5,2,-4,23,2-12/- (3-1),E,13,D,D,2,,,,,,301,401,301,rf-3(+2)e1 cf-4e1 lf-3e1
MLN,,"Garcia,A",181,28,19,23.6,49.5,43,3,w,+7,4,22,5,15.8,27.8,23.5,1.5,w,+8,6,"2-5,12/6,8-10 (13-1)",D,13,D,C,1,,,,,,,308,308,cf-3(-2)e8 rf-3e8
MLN,,"Gyorko,J",117,26,29,16.1,47.1,52.1,11.3,8,0,11,40,2,19.9,23.9,31.3,3.8,7,-12,24,-/- (---),E,10,D,D,1,,407,,416,,,,,1b-4e7 3b-4e16
MLN,,"Healy,R",7,30,0,15.3,15.3,15.3,0,w,-9,0,43,0,0,0,0,0,w*,0,0,-/- (---),E,10,D,D,1,,410,,,,,,,1b-4e10
MLN,,"Hiura,K",217,49,4,20.2,34.2,26.2,2,2,-14,10,45,3,10,23,24.7,4.8,5,-2,19,"*4,5,7/12 (15-9)",C,13,D,D,1,,,421,,,,,,2b-4e21
MLN,,"Mathias,M",36,15,0,27.4,27.4,41.4,0,w,-2,0,11,0,36.6,36.6,45.8,0,w,-2,0,*3/- (20-11),B,13,D,C,1,,425,406,,,416,,416,rf-4(+1)e16 lf-4e16 1b-4e25 2b-4e6
MLN,,"Morrison,L*",25,39,0,0,0,0,0,w*,0,0,34,15,2.8,17.9,11.4,2.8,4*,0,0,-/- (---),E,10,D,D,1,,401,,,,,,,1b-4e1
MLN,,"Narvaez,O*",108,50,0,10.3,14.3,16.5,0,w,+8,4,37,20,8.1,32.2,10.8,0.3,0,+7,2,-/- (---),E,9,D,D,2,305,,,,,,,,"c-3(0)e5,T-13(pb-0)"
MLN,,"Nottingham,J",48,50,17,11.5,32.5,46,11.5,8*,0,10,52,8,6.4,18.4,25.6,6.4,8*,0,17,-/- (---),E,10,D,D,2,308,,,,,,,,"c-3(-1)e8,T-20(pb-5)"
